Total path distance: 2653775.73 meters

Vertex Coordinates (Pixel, Global):
Pixel: (458, 949) -> Global: (70.903661, 18.692459)
Pixel: (457, 948) -> Global: (70.882262, 18.704749)
Pixel: (456, 947) -> Global: (70.860863, 18.717039)
Pixel: (455, 946) -> Global: (70.839465, 18.729329)
Pixel: (454, 945) -> Global: (70.818066, 18.741619)
Pixel: (453, 944) -> Global: (70.796667, 18.753909)
Pixel: (452, 943) -> Global: (70.775268, 18.766199)
Pixel: (451, 942) -> Global: (70.753869, 18.778488)
Pixel: (450, 941) -> Global: (70.732470, 18.790778)
Pixel: (449, 940) -> Global: (70.711072, 18.803068)
Pixel: (448, 939) -> Global: (70.689673, 18.815358)
Pixel: (447, 938) -> Global: (70.668274, 18.827648)
Pixel: (446, 937) -> Global: (70.646875, 18.839938)
Pixel: (445, 936) -> Global: (70.625476, 18.852228)
Pixel: (444, 935) -> Global: (70.604077, 18.864518)
Pixel: (443, 934) -> Global: (70.582679, 18.876808)
Pixel: (442, 933) -> Global: (70.561280, 18.889098)
Pixel: (441, 932) -> Global: (70.539881, 18.901388)
Pixel: (440, 931) -> Global: (70.518482, 18.913678)
Pixel: (439, 930) -> Global: (70.497083, 18.925968)
Pixel: (438, 929) -> Global: (70.475684, 18.938257)
Pixel: (437, 928) -> Global: (70.454286, 18.950547)
Pixel: (436, 927) -> Global: (70.432887, 18.962837)
Pixel: (435, 926) -> Global: (70.411488, 18.975127)
Pixel: (434, 925) -> Global: (70.390089, 18.987417)
Pixel: (433, 924) -> Global: (70.368690, 18.999707)
Pixel: (432, 923) -> Global: (70.347291, 19.011997)
Pixel: (431, 922) -> Global: (70.325893, 19.024287)
Pixel: (430, 921) -> Global: (70.304494, 19.036577)
Pixel: (429, 920) -> Global: (70.283095, 19.048867)
Pixel: (428, 919) -> Global: (70.261696, 19.061157)
Pixel: (427, 918) -> Global: (70.240297, 19.073447)
Pixel: (426, 917) -> Global: (70.218898, 19.085737)
Pixel: (425, 916) -> Global: (70.197500, 19.098027)
Pixel: (424, 915) -> Global: (70.176101, 19.110316)
Pixel: (423, 914) -> Global: (70.154702, 19.122606)
Pixel: (422, 913) -> Global: (70.133303, 19.134896)
Pixel: (421, 912) -> Global: (70.111904, 19.147186)
Pixel: (420, 911) -> Global: (70.090505, 19.159476)
Pixel: (419, 910) -> Global: (70.069107, 19.171766)
Pixel: (418, 909) -> Global: (70.047708, 19.184056)
Pixel: (417, 908) -> Global: (70.026309, 19.196346)
Pixel: (416, 907) -> Global: (70.004910, 19.208636)
Pixel: (415, 907) -> Global: (70.004910, 19.220926)
Pixel: (414, 907) -> Global: (70.004910, 19.233216)
Pixel: (413, 907) -> Global: (70.004910, 19.245506)
Pixel: (412, 907) -> Global: (70.004910, 19.257796)
Pixel: (411, 906) -> Global: (69.983511, 19.270086)
Pixel: (410, 906) -> Global: (69.983511, 19.282375)
Pixel: (409, 906) -> Global: (69.983511, 19.294665)
Pixel: (408, 906) -> Global: (69.983511, 19.306955)
Pixel: (407, 905) -> Global: (69.962112, 19.319245)
Pixel: (406, 905) -> Global: (69.962112, 19.331535)
Pixel: (405, 905) -> Global: (69.962112, 19.343825)
Pixel: (404, 905) -> Global: (69.962112, 19.356115)
Pixel: (403, 905) -> Global: (69.962112, 19.368405)
Pixel: (402, 904) -> Global: (69.940714, 19.380695)
Pixel: (401, 903) -> Global: (69.919315, 19.392985)
Pixel: (400, 902) -> Global: (69.897916, 19.405275)
Pixel: (399, 901) -> Global: (69.876517, 19.417565)
Pixel: (398, 900) -> Global: (69.855118, 19.429855)
Pixel: (397, 899) -> Global: (69.833719, 19.442144)
Pixel: (396, 899) -> Global: (69.833719, 19.454434)
Pixel: (395, 898) -> Global: (69.812321, 19.466724)
Pixel: (394, 897) -> Global: (69.790922, 19.479014)
Pixel: (393, 896) -> Global: (69.769523, 19.491304)
Pixel: (392, 895) -> Global: (69.748124, 19.503594)
Pixel: (391, 894) -> Global: (69.726725, 19.515884)
Pixel: (390, 893) -> Global: (69.705326, 19.528174)
Pixel: (389, 892) -> Global: (69.683928, 19.540464)
Pixel: (388, 891) -> Global: (69.662529, 19.552754)
Pixel: (387, 890) -> Global: (69.641130, 19.565044)
Pixel: (386, 889) -> Global: (69.619731, 19.577334)
Pixel: (385, 888) -> Global: (69.598332, 19.589624)
Pixel: (384, 887) -> Global: (69.576933, 19.601914)
Pixel: (383, 886) -> Global: (69.555535, 19.614203)
Pixel: (382, 885) -> Global: (69.534136, 19.626493)
Pixel: (381, 884) -> Global: (69.512737, 19.638783)
Pixel: (380, 883) -> Global: (69.491338, 19.651073)
Pixel: (379, 882) -> Global: (69.469939, 19.663363)
Pixel: (378, 881) -> Global: (69.448540, 19.675653)
Pixel: (377, 880) -> Global: (69.427142, 19.687943)
Pixel: (376, 879) -> Global: (69.405743, 19.700233)
Pixel: (375, 878) -> Global: (69.384344, 19.712523)
Pixel: (374, 877) -> Global: (69.362945, 19.724813)
Pixel: (373, 876) -> Global: (69.341546, 19.737103)
Pixel: (372, 875) -> Global: (69.320147, 19.749393)
Pixel: (371, 874) -> Global: (69.298749, 19.761683)
Pixel: (370, 873) -> Global: (69.277350, 19.773972)
Pixel: (369, 872) -> Global: (69.255951, 19.786262)
Pixel: (368, 871) -> Global: (69.234552, 19.798552)
Pixel: (367, 870) -> Global: (69.213153, 19.810842)
Pixel: (366, 870) -> Global: (69.213153, 19.823132)
Pixel: (365, 870) -> Global: (69.213153, 19.835422)
Pixel: (364, 870) -> Global: (69.213153, 19.847712)
Pixel: (363, 870) -> Global: (69.213153, 19.860002)
Pixel: (362, 870) -> Global: (69.213153, 19.872292)
Pixel: (361, 870) -> Global: (69.213153, 19.884582)
Pixel: (360, 870) -> Global: (69.213153, 19.896872)
Pixel: (359, 870) -> Global: (69.213153, 19.909162)
Pixel: (358, 870) -> Global: (69.213153, 19.921452)
Pixel: (357, 870) -> Global: (69.213153, 19.933742)
Pixel: (356, 870) -> Global: (69.213153, 19.946031)
Pixel: (355, 870) -> Global: (69.213153, 19.958321)
Pixel: (354, 870) -> Global: (69.213153, 19.970611)
Pixel: (353, 870) -> Global: (69.213153, 19.982901)
Pixel: (352, 870) -> Global: (69.213153, 19.995191)
Pixel: (351, 870) -> Global: (69.213153, 20.007481)
Pixel: (350, 870) -> Global: (69.213153, 20.019771)
Pixel: (349, 869) -> Global: (69.191754, 20.032061)
Pixel: (348, 868) -> Global: (69.170356, 20.044351)
Pixel: (347, 867) -> Global: (69.148957, 20.056641)
Pixel: (346, 866) -> Global: (69.127558, 20.068931)
Pixel: (345, 865) -> Global: (69.106159, 20.081221)
Pixel: (344, 864) -> Global: (69.084760, 20.093511)
Pixel: (343, 863) -> Global: (69.063361, 20.105800)
Pixel: (342, 862) -> Global: (69.041963, 20.118090)
Pixel: (341, 861) -> Global: (69.020564, 20.130380)
Pixel: (340, 860) -> Global: (68.999165, 20.142670)
Pixel: (339, 859) -> Global: (68.977766, 20.154960)
Pixel: (338, 858) -> Global: (68.956367, 20.167250)
Pixel: (337, 857) -> Global: (68.934968, 20.179540)
Pixel: (336, 856) -> Global: (68.913570, 20.191830)
Pixel: (335, 855) -> Global: (68.892171, 20.204120)
Pixel: (334, 854) -> Global: (68.870772, 20.216410)
Pixel: (333, 853) -> Global: (68.849373, 20.228700)
Pixel: (332, 852) -> Global: (68.827974, 20.240990)
Pixel: (331, 851) -> Global: (68.806575, 20.253280)
Pixel: (330, 850) -> Global: (68.785177, 20.265570)
Pixel: (329, 849) -> Global: (68.763778, 20.277859)
Pixel: (328, 848) -> Global: (68.742379, 20.290149)
Pixel: (327, 847) -> Global: (68.720980, 20.302439)
Pixel: (326, 846) -> Global: (68.699581, 20.314729)
Pixel: (325, 845) -> Global: (68.678182, 20.327019)
Pixel: (324, 844) -> Global: (68.656784, 20.339309)
Pixel: (323, 843) -> Global: (68.635385, 20.351599)
Pixel: (322, 842) -> Global: (68.613986, 20.363889)
Pixel: (321, 841) -> Global: (68.592587, 20.376179)
Pixel: (320, 840) -> Global: (68.571188, 20.388469)
Pixel: (319, 839) -> Global: (68.549789, 20.400759)
Pixel: (318, 838) -> Global: (68.528391, 20.413049)
Pixel: (317, 837) -> Global: (68.506992, 20.425339)
Pixel: (316, 836) -> Global: (68.485593, 20.437629)
Pixel: (315, 835) -> Global: (68.464194, 20.449918)
Pixel: (314, 834) -> Global: (68.442795, 20.462208)
Pixel: (313, 833) -> Global: (68.421396, 20.474498)
Pixel: (312, 832) -> Global: (68.399998, 20.486788)
Pixel: (311, 831) -> Global: (68.378599, 20.499078)
Pixel: (310, 830) -> Global: (68.357200, 20.511368)
Pixel: (309, 829) -> Global: (68.335801, 20.523658)
Pixel: (308, 828) -> Global: (68.314402, 20.535948)
Pixel: (307, 827) -> Global: (68.293004, 20.548238)
Pixel: (306, 826) -> Global: (68.271605, 20.560528)
Pixel: (305, 825) -> Global: (68.250206, 20.572818)
Pixel: (304, 824) -> Global: (68.228807, 20.585108)
Pixel: (303, 823) -> Global: (68.207408, 20.597398)
Pixel: (302, 822) -> Global: (68.186009, 20.609687)
Pixel: (301, 821) -> Global: (68.164611, 20.621977)
Pixel: (300, 820) -> Global: (68.143212, 20.634267)
Pixel: (299, 819) -> Global: (68.121813, 20.646557)
Pixel: (298, 818) -> Global: (68.100414, 20.658847)
Pixel: (297, 817) -> Global: (68.079015, 20.671137)
Pixel: (296, 816) -> Global: (68.057616, 20.683427)
Pixel: (295, 815) -> Global: (68.036218, 20.695717)
Pixel: (294, 814) -> Global: (68.014819, 20.708007)
Pixel: (293, 813) -> Global: (67.993420, 20.720297)
Pixel: (292, 813) -> Global: (67.993420, 20.732587)
Pixel: (291, 813) -> Global: (67.993420, 20.744877)
Pixel: (290, 813) -> Global: (67.993420, 20.757167)
Pixel: (289, 813) -> Global: (67.993420, 20.769457)
Pixel: (288, 813) -> Global: (67.993420, 20.781746)
Pixel: (287, 813) -> Global: (67.993420, 20.794036)
Pixel: (286, 813) -> Global: (67.993420, 20.806326)
Pixel: (285, 813) -> Global: (67.993420, 20.818616)
Pixel: (284, 813) -> Global: (67.993420, 20.830906)
Pixel: (283, 813) -> Global: (67.993420, 20.843196)
Pixel: (282, 813) -> Global: (67.993420, 20.855486)
Pixel: (281, 813) -> Global: (67.993420, 20.867776)
Pixel: (280, 813) -> Global: (67.993420, 20.880066)
Pixel: (279, 813) -> Global: (67.993420, 20.892356)
Pixel: (278, 813) -> Global: (67.993420, 20.904646)
Pixel: (277, 812) -> Global: (67.972021, 20.916936)
Pixel: (276, 812) -> Global: (67.972021, 20.929226)
